_id,activation,dominance,emotion,end_time,start_time,titre,to_translate,translated,valence
625682441da7a5c1eaef3699,3,3,sad,67.7895,64.7625,Ses02M_impro02_F008," I'll send you lots of pictures.","Je t'enverrai plein de photos.",4
625682441da7a5c1eaef369a,2.5,3.5,sad,74.1377,67.8916,Ses02M_impro02_M008," I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.","Je l'espère, parce que je ne vais pas pouvoir survivre sans tout ça. Je ne sais pas ce que je vais faire.",2.5
625682441da7a5c1eaef369b,2.5,4,sad,84.1992,75.036,Ses02M_impro02_M009," I've never been - I've never been away from you for two weeks let alone a year.","Je n'ai jamais été - je n'ai jamais été loin de toi pendant deux semaines et encore moins un an.",3
625682441da7a5c1eaef369c,3,4,sad,88.959,84.1439,Ses02M_impro02_F009," Well, just promise me that you going to be safe.","Eh bien, promets-moi juste que tu vas être en sécurité.",2
625682441da7a5c1eaef369d,3,4,sad,96.5662,89.8468,Ses02M_impro02_F010," I mean can't they put you in like, you know kitchen work or something where you won't get","Je veux dire, ils ne peuvent pas te mettre dans le genre, tu sais le travail de cuisine ou quelque chose où tu n'auras pas",3
625682441da7a5c1eaef369e,2.5,3,fru,99.7326,96.5942,Ses02M_impro02_M010," No, it doesn't work that way","Non, ça ne marche pas comme ça",2.5
625682441da7a5c1eaef369f,2.5,3,fru,108.0313,101.0854,Ses02M_impro02_M011," but, I mean, I'm going to do whatever I can and get back here as fast as I can.","mais, je veux dire, je vais faire tout ce que je peux et revenir ici aussi vite que possible.",2.5
625682441da7a5c1eaef36a0,2.5,4,fru,112.6479,108.5118,Ses02M_impro02_F011," It doesn't make any sense; I don't know why we have to be at war in the first place.","Cela n'a aucun sens; Je ne sais pas pourquoi nous devons être en guerre en premier lieu.",2
625682441da7a5c1eaef36a1,2.5,3.5,fru,119.834,113.8282,Ses02M_impro02_M012," I know, but it's not our decision, I guess, you know, I mean","Je sais, mais ce n'est pas notre décision, je suppose, tu sais, je veux dire",2.5
625682441da7a5c1eaef36a2,2.5,3,sad,128.8678,120.2518,Ses02M_impro02_M013," there's people that thought it was the right thing to do so now we have to- we have to do what we have to do for our country","il y a des gens qui pensaient que c'était la bonne chose à faire alors maintenant nous devons- nous devons faire ce que nous devons faire pour notre pays",2
625682441da7a5c1eaef36a3,2.5,3.5,neu,137.7099,129.5686,Ses02M_impro02_M014," and it'll work out you know, go there and do that. Yeah, I'll be back","et ça marchera, tu sais, vas-y et fais ça. Ouais, je reviendrai",2.5
625682441da7a5c1eaef36a4,2.5,3,sad,142.0114,137.8409,Ses02M_impro02_F012," Will you write me letters, paper ones?","M'écriras-tu des lettres, des lettres papier ?",4
625682441da7a5c1eaef36a5,2.5,3,fru,148.2248,141.7127,Ses02M_impro02_M015," Yeah, of course. I don't know if we'll have computers or anything like that you know, so probably my only option then.","Ouais, bien sûr. Je ne sais pas si nous aurons des ordinateurs ou quelque chose comme ça, vous savez, donc probablement ma seule option alors.",4
625682441da7a5c1eaef36a6,3,3.5,fru,155.0556,148.5469,Ses02M_impro02_M016," Yeah, I'll write you every day 'cause you're the only thing that's going to be on my mind.","Ouais, je t'écrirai tous les jours parce que tu es la seule chose qui me préoccupe.",3.5
625682441da7a5c1eaef36a7,3,4,sad,160.4854,155.7643,Ses02M_impro02_F013," Our baby needs a dad; you can't leave. Okay, you can't disappear.","Notre bébé a besoin d'un papa; tu ne peux pas partir. OK, tu ne peux pas disparaître.",1.5
625682441da7a5c1eaef36a8,2.5,3.5,sad,164.3,159.4932,Ses02M_impro02_M017," Our baby has a dad, alright. Daddy is going to be back soon.","Notre bébé a un père, d'accord. Papa va bientôt revenir.",3
625682441da7a5c1eaef36a9,3,4,sad,178.4193,165.83,Ses02M_impro02_M018," I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.","Je veux que vous, vous savez, preniez beaucoup de vidéos ; photos et je peux vous voir à mon retour ou pendant que je suis là-bas. Tu vas me manquer.",4
625682441da7a5c1eaef36aa,2,3,sad,181.4226,178.7739,Ses02M_impro02_F014," I'll miss you too.",Tu me manqueras aussi.,3
625682841da7a5c1eaef36f8,2,2.5,sad,9.1927,5.7703,Ses03M_impro02_M000, Hey sweetie.,Hey chérie.,2.5
625682841da7a5c1eaef36f9,2,2,sad,20.6139,18.5048,Ses03M_impro02_M001, Hey.,Hé.,2.5
625682841da7a5c1eaef36fa,3,3,hap,8.6953,5.8897,Ses03M_impro02_F000, Um.,Une.,4
625682841da7a5c1eaef36fb,3.5,3.5,exc,16.5375,8.755,Ses03M_impro02_F001," How's it- going?  Oh I'm so tired.  Oh, I just woke up. Mmm.","Comment ça va? Oh je suis si fatigué. Oh, je viens de me réveiller. Mmm.",3.5
625682841da7a5c1eaef36fc,3,3.5,exc,19.3803,17.0722,Ses03M_impro02_F002," What's going on?",Ce qui se passe?,4
625682841da7a5c1eaef36fd,2.5,3,sad,24.6731,21.6685,Ses03M_impro02_M002," Uh, -Um","Euh, -Euh",2.5
625682841da7a5c1eaef36fe,3,3,hap,22.7032,20.0369,Ses03M_impro02_F003, Why the sad face?,Pourquoi le visage triste?,4
625682841da7a5c1eaef36ff,2.5,3,sad,29.4375,24.7924,Ses03M_impro02_M003, they need me out there sooner than I thought,ils ont besoin de moi là-bas plus tôt que je ne le pensais,2
625682841da7a5c1eaef3700,2.5,3,sur,34.4229,30.0852,Ses03M_impro02_F004, Where?  Who?  What are you talking about?,"Où? Qui? Qu'est-ce que tu racontes?",2.5
625682841da7a5c1eaef3701,2.5,3,sad,38.4223,33.8658,Ses03M_impro02_M004, They want to deploy me next week.,Ils veulent me déployer la semaine prochaine.,2
625682841da7a5c1eaef3702,3,3,sur,39.1784,37.3677,Ses03M_impro02_F005, Next week?,La semaine prochaine?,2
625682841da7a5c1eaef3703,3,3,fru,41.5661,39.258,Ses03M_impro02_F006, Overseas?,"À l'étranger?",2
625682841da7a5c1eaef3704,2,2.5,sad,44.6702,42.6008,Ses03M_impro02_M005, For--,Pour--,2.5
625682841da7a5c1eaef3705,2.5,3,fru,46.6997,44.113,Ses03M_impro02_F007, For how long this time?,Pour combien de temps cette fois ?,2
625682841da7a5c1eaef3706,2,3,sad,48.8288,46.065,Ses03M_impro02_M006, They said anywhere from two to three years.,Ils ont dit entre deux et trois ans.,2
625682841da7a5c1eaef3707,4,4.5,fru,56.8077,48.1522,Ses03M_impro02_F008," What?  What do you mean two to three years?  Don't they know that you have a wife and an expectant child?","Quelle? Qu'entendez-vous par deux à trois ans? Ne savent-ils pas que vous avez une femme et un enfant en attente ?",1
625682841da7a5c1eaef3708,2,3.5,fru,59.2949,56.11,Ses03M_impro02_M007, I told them that but they--,Je leur ai dit ça mais ils...,1.5
625682841da7a5c1eaef3709,3,3.5,fru,61.1454,58.7975,Ses03M_impro02_F009, Honey--,Chéri--,2
625682841da7a5c1eaef370a,2.5,3,fru,62.976,59.8123,Ses03M_impro02_M008, --need me on the specialist honey.,--besoin de moi sur le spécialiste du miel.,2
625682841da7a5c1eaef370b,3.5,4,fru,67.3137,61.6826,Ses03M_impro02_F010," You can't.  We need you.  I need you.","Vous ne pouvez pas. Nous avons besoin de toi. J'ai besoin de toi.",1.5
625682841da7a5c1eaef370c,2.5,3,fru,69.7412,66.657,Ses03M_impro02_M009," I don't want to go but,-","Je ne veux pas y aller mais,-",2
625682841da7a5c1eaef370d,3,3.5,fru,75.1931,71.8503,Ses03M_impro02_F011," I don't care about the money.","Je me fiche de l'argent.",1.5
625682841da7a5c1eaef370e,3,3,fru,75.3921,69.7412,Ses03M_impro02_M010," but they said they'd increase my pay by triple-there promotion.","mais ils ont dit qu'ils augmenteraient mon salaire par une triple promotion.",2
625682841da7a5c1eaef370f,3,4,fru,81.3415,75.9492,Ses03M_impro02_F012," And you're leaving next week so you won't even be here for Anna's birth?","Et tu pars la semaine prochaine donc tu ne seras même pas là pour la naissance d'Anna ?",1.5
625682841da7a5c1eaef3710,2,3,sad,82.9532,80.665,Ses03M_impro02_M011, No.,Non.,1.5
625682841da7a5c1eaef3711,2.5,3,sad,84.0675,81.441,Ses03M_impro02_F013, Do this whole thing by myself?,Faire tout ça moi-même ?,2
625682841da7a5c1eaef3712,2.5,3.5,sad,86.9924,83.7292,Ses03M_impro02_M012," Honey you're not going to be by yourself--","Chérie, tu ne seras pas seule...",2
625682841da7a5c1eaef3713,3,3.5,neu,94.32,87.4501,Ses03M_impro02_M013," We'll have internet set up, we'll get web cameras and everything.  My whole family's here too.","Nous aurons mis en place Internet, nous aurons des caméras Web et tout. Toute ma famille est ici aussi.",2.5
625682841da7a5c1eaef3714,3,3.5,sad,87.5694,84.1073,Ses03M_impro02_F014, Carry her for nine months and then yes.,Portez-la pendant neuf mois et puis oui.,1.5
625682841da7a5c1eaef3715,2.5,3,fru,100.0452,97.2198,Ses03M_impro02_M014, Honey.,Chéri.,2
625682841da7a5c1eaef3716,2.5,3.5,sad,97.4785,93.678,Ses03M_impro02_F015," It's not the same thing.  It's not like having you here.","Ce n'est pas la même chose. Ce n'est pas comme si vous étiez ici.",1.5
625682841da7a5c1eaef3717,2,3,sad,103.8875,101.0401,Ses03M_impro02_F016," I can't do this.",Je ne peux pas faire ça.,1.5
625682841da7a5c1eaef3718,3,4,neu,109.3425,103.4425,Ses03M_impro02_M015," You can do it.  Alright?  You can, you can be strong, you can be strong for both of us alright?","Tu peux le faire. Très bien? Tu peux, tu peux être fort, tu peux être fort pour nous deux, d'accord ?",2
625682841da7a5c1eaef3719,2.5,3.5,sad,113.51,110.0339,Ses03M_impro02_F017," I'm sick of being strong-- --for us.","J'en ai assez d'être forte... pour nous.",1.5
625682841da7a5c1eaef371a,3,3,sad,113.2175,110.0538,Ses03M_impro02_M016," I don't know what to do.",Je ne sais pas quoi faire.,1.5
625682841da7a5c1eaef371b,3,3.5,fru,116.5975,113.2175,Ses03M_impro02_M017," I don't want to - I don't- I don't want to go.",Je ne veux pas - je ne veux pas - je ne veux pas y aller.,2
625682841da7a5c1eaef371c,2.5,3,fru,120.5199,117.3164,Ses03M_impro02_M018, What am I supposed to do?,"Qu'est-ce que je suis supposé faire?",2
625682841da7a5c1eaef371d,3.5,3.5,fru,123.0071,119.5648,Ses03M_impro02_F018, You can say no?,Vous pouvez dire non ?,1.5
625682841da7a5c1eaef371e,3,3.5,sad,124.7875,122.3903,Ses03M_impro02_M019," You know I can't say no.",Tu sais que je ne peux pas dire non.,2
625682841da7a5c1eaef371f,4,4,fru,131.384,123.9423,Ses03M_impro02_F019," You could.  You really could.  You could-- --get into another line of work.  I could start working after Anna's born?","Vous pourriez. Vous pourriez vraiment. Vous pourriez---entrer dans une autre ligne de travail. Je pourrais commencer à travailler après la naissance d'Anna ?",1.5
625682841da7a5c1eaef3720,2,2.5,fru,129.7524,126.675,Ses03M_impro02_M020, The last guy who said no was fired.,Le dernier gars qui a dit non a été viré.,2
625682841da7a5c1eaef3721,2.5,3.5,fru,133.8115,130.1702,Ses03M_impro02_M021, I put in fifteen years in this job.,"J'ai mis quinze ans dans ce métier.",2
625682841da7a5c1eaef3722,1.5,3,fru,134.6074,132.4585,Ses03M_impro02_F020, I know.,Je sais.,1.5
625682841da7a5c1eaef3723,3,3.5,fru,137.2725,133.8115,Ses03M_impro02_M022," I'm so close.  Five more years and I retire-",Je suis si proche. Cinq ans de plus et je prends ma retraite-,2
625682841da7a5c1eaef3724,2.5,2.5,fru,140.0196,137.365,Ses03M_impro02_M023," and we'll have that happy life.",et nous aurons cette vie heureuse.,3
625682841da7a5c1eaef3725,3,3.5,fru,144.4325,139.9201,Ses03M_impro02_F021, Happiness for me is having you here with me,"Le bonheur pour moi c'est de t'avoir ici avec moi",2
625682841da7a5c1eaef3726,3.5,3.5,sad,150.8439,144.5548,Ses03M_impro02_F022," and watch our child grow, see her take her first steps, her first words.","et regarder notre enfant grandir, la voir faire ses premiers pas, ses premiers mots.",2
625682841da7a5c1eaef3727,2.5,2.5,sad,153.1918,149.8888,Ses03M_impro02_M024, Honey after a year I can be back.,"Chérie, après un an, je peux être de retour.",2
625682841da7a5c1eaef3728,3,3.5,sad,154.8035,152.0377,Ses03M_impro02_F023, You said two years.,Vous avez dit deux ans.,1.5
625682841da7a5c1eaef3729,3,3,sad,157.1713,153.7887,Ses03M_impro02_M025, They want me there two years but I could probably get,"Ils veulent que je reste là-bas pendant deux ans, mais je pourrais probablement obtenir",2
625682841da7a5c1eaef372a,2.5,3,sad,161.2304,157.1713,Ses03M_impro02_M026, maybe get some vacation-- --once it quiets down there.,peut-être prendre des vacances... une fois que ça se calmera là-bas.,2
625682841da7a5c1eaef372b,4,4,sad,163.96,157.755,Ses03M_impro02_F024," A whole year? --We're not talking about like a couple months here.  I mean this is a whole year.","Toute une année? --Nous ne parlons pas comme quelques mois ici. Je veux dire que c'est une année entière.",2
625682841da7a5c1eaef372c,2.5,3.5,sad,167.14,163.3396,Ses03M_impro02_M027, I know.  I know.  But they really need some good guys there.,Je sais. Je sais. Mais ils ont vraiment besoin de bons gars là-bas.,2
625682841da7a5c1eaef372d,3,3.5,sad,168.7915,166.0059,Ses03M_impro02_F025, What could happen in a year?,Que pourrait-il se passer dans un an ?,1.5
625682841da7a5c1eaef372e,3.5,4,sad,175.895,168.9905,Ses03M_impro02_F026," And this isn't the first time you know?  I mean you always...sending you off to different places and...","Et ce n'est pas la première fois tu sais ? Je veux dire que tu... t'envoies toujours dans des endroits différents et...",1.5
625682841da7a5c1eaef372f,2,2.5,sad,180.9092,176.9098,Ses03M_impro02_M028," Well that's the kind of work I'm in honey.","Eh bien, c'est le genre de travail que je fais, chérie.",2.5
625682841da7a5c1eaef3730,2.5,2,sad,185.227,180.4714,Ses03M_impro02_F027," I don't know if that's how I want to live my life.","Je ne sais pas si c'est comme ça que je veux vivre ma vie.",1.5
625682841da7a5c1eaef3731,2.5,3,sad,190.9177,184.8887,Ses03M_impro02_M029," It's just going to be--it's going to go faster than you think.",Ça va juste être - ça va aller plus vite que vous ne le pensez.,2.5
625682841da7a5c1eaef3732,3,4,sad,203.06,190.7187,Ses03M_impro02_F028," Joe I'm serious I don't want to have to have a little girl to tell...asking every day where's daddy, where's daddy and have to tell her that he's away--","Joe, je suis sérieux, je ne veux pas avoir à dire à une petite fille... demander tous les jours où est papa, où est papa et devoir lui dire qu'il est absent...",1.5
625682841da7a5c1eaef3733,3,3.5,sad,206.5572,203.16,Ses03M_impro02_F029," far away and he won't be here.",loin et il ne sera pas là.,2
625682841da7a5c1eaef3734,3,2.5,sad,207.6516,204.0501,Ses03M_impro02_M030, You tell her-- [BREATHING],Tu lui dis-- [RESPIRATION],2.5
625682841da7a5c1eaef3735,3,4,sad,213.004,207.373,Ses03M_impro02_F030," I'm done.  I can't honey.","J'ai fini. Je ne peux pas chérie.",1.5
625682841da7a5c1eaef3736,2.5,2.5,sad,215.6703,212.3872,Ses03M_impro02_M031, What do you mean?,Que veux-tu dire?,2
625682841da7a5c1eaef3737,2,3,sad,221.1621,218.0779,Ses03M_impro02_F031," It's over.","C'est fini.",1.5
625682841da7a5c1eaef3738,3.5,4,sur,222.5325,220.1672,Ses03M_impro02_M032, What?,Quelle?,1.5
625682841da7a5c1eaef3739,2.5,3.5,sad,225.5594,221.7988,Ses03M_impro02_F032," Honey I can't do it anymore.","Chérie, je n'en peux plus.",1.5
625682841da7a5c1eaef373a,3.5,4,sur,227.8477,223.6294,Ses03M_impro02_M033, Are you kidding me?  No.,"Vous plaisantez j'espère? Non.",2
625682841da7a5c1eaef373b,3.5,4,sad,232.6828,228.0069,Ses03M_impro02_F033, I need you here.  Anna needs you.,"J'ai besoin de toi ici. Anna a besoin de vous.",1.5
625682841da7a5c1eaef373c,3,4,fru,237.04,231.9864,Ses03M_impro02_M034, So I have--you want me to choose between you guys or my career?,"Alors j'ai... vous voulez que je choisisse entre vous ou ma carrière ?",2
625682841da7a5c1eaef373d,3.5,4,sad,238.2342,236.4832,Ses03M_impro02_F034, yeah.,Oui.,2
625682841da7a5c1eaef373e,2.5,3.5,fru,239.7067,237.1797,Ses03M_impro02_M035, What am I going to do?,"Qu'est ce que je vais faire?",1.5
625682841da7a5c1eaef373f,4,4,fru,241.09,238.274,Ses03M_impro02_F035," Priorities honey, priorities.","Priorités chérie, priorités.",1.5
625682841da7a5c1eaef3740,3,3.5,fru,244.303,240.423,Ses03M_impro02_M036, I want to--what am I going to do if I leave this job?,"Je veux... qu'est-ce que je vais faire si je quitte ce travail ?",2
625682841da7a5c1eaef3741,3.5,3.5,fru,248.2228,243.527,Ses03M_impro02_F036," You're smart.  You could go back to school--","Vous êtes intelligent. Tu pourrais retourner à l'école...",2
625682841da7a5c1eaef3742,3.5,3.5,fru,254.155,249.3769,Ses03M_impro02_F037," finish your Master's that you were started never finished.",terminer votre maîtrise que vous avez commencé jamais fini.,2.5
625682841da7a5c1eaef3743,3,3.5,fru,259.2859,253.3962,Ses03M_impro02_M037," Fine.  I'll see if I can talk to them.",Amende. Je vais voir si je peux leur parler.,2
625682d71da7a5c1eaef37a3,2.5,4,neu,13.9804,8.0977,Ses03M_script03_2_M000, Yes.  The real cause of that rile was Peter Burden.,Oui. La véritable cause de cette colère était Peter Burden.,4
625682d71da7a5c1eaef37a4,4,3.5,neu,16.7831,13.4546,Ses03M_script03_2_F000," Oh, come on, you knew there was nothing in that.","Oh, allez, tu savais qu'il n'y avait rien là-dedans.",3
625682d71da7a5c1eaef37a5,3,3.5,fru,19.1187,16.1538,Ses03M_script03_2_M001, I knew nothing of the sort.  You took presents from him.,Je ne savais rien de tel. Vous lui avez pris des cadeaux.,2
625682d71da7a5c1eaef37a6,3.5,4,ang,21.6976,18.6039,Ses03M_script03_2_F001, Presents?  A trivial little broach.,Des cadeaux ? Une petite broche banale.,2
625682d71da7a5c1eaef37a7,3,4,ang,27.719,20.701,Ses03M_script03_2_M002, Mmm Hmm.  I remember it well.  Bristling with diamonds in the worst possible taste.,"Mmm hum. Je m'en souviens bien. Hérissé de diamants du pire goût possible.",2.5
625682d71da7a5c1eaef37a8,3.5,3.5,ang,30.845,26.7431,Ses03M_script03_2_F002, Not at all.  It was very pretty.  I still have it and I wear it often.,"Pas du tout. C'était très joli. Je l'ai toujours et je le porte souvent.",2.5
625682d71da7a5c1eaef37a9,2.5,3.5,ang,33.8442,30.2521,Ses03M_script03_2_M003, You went out of your way to torture me over Peter Burden.,Vous avez fait tout votre possible pour me torturer à cause de Peter Burden.,2.5
625682d71da7a5c1eaef37aa,2,3.5,neu,37.7493,33.3721,Ses03M_script03_2_F003," No I didn't.  You made up the whole thing in your jealous imagination.","Non, je ne l'ai pas fait. Tu as tout inventé dans ton imagination jalouse.",2
625682d71da7a5c1eaef37ab,3.5,3.5,ang,39.7718,36.6927,Ses03M_script03_2_M004, You must admit he was in love with you.,"Tu dois admettre qu'il était amoureux de toi.",2.5
625682d71da7a5c1eaef37ac,3.5,3.5,neu,42.5038,39.2436,Ses03M_script03_2_F004, Just a little perhaps but nothing serious.,Un peu peut-être mais rien de grave.,3.5
625682d71da7a5c1eaef37ad,3.5,4.5,ang,46.0325,42.1416,Ses03M_script03_2_M005, You let him kiss you. You said so.  What of it?,"Tu l'as laissé t'embrasser. Vous l'avez dit. Qu'en est-il?",2
625682d71da7a5c1eaef37ae,3,3,fru,44.9641,43.3641,Ses03M_script03_2_F005, Well what of it?,"Eh bien, qu'en est-il?",2
625682d71da7a5c1eaef37af,3.5,3,neu,49.7035,45.281,Ses03M_script03_2_F006," Well it didn't harm him, in fact, it pleasured him a lot and it didn't hurt me.","Et bien ça ne lui a pas fait de mal, en fait, ça lui a beaucoup plu et ça ne m'a pas fait de mal.",2
625682d71da7a5c1eaef37b0,3,4,ang,51.5575,48.9035,Ses03M_script03_2_M006, And what about me?,Et moi dans tout ça?,2
625682d71da7a5c1eaef37b1,4,4,fru,56.1425,50.8657,Ses03M_script03_2_F007," Well, if you hadn't been so suspicious and nosey you would've never known anything.","Eh bien, si vous n'aviez pas été aussi méfiant et fouineur, vous n'auriez jamais rien su.",2
625682d71da7a5c1eaef37b2,2.5,4,ang,58.6389,55.5749,Ses03M_script03_2_M007," Oh, that's a nice point of view I must say.","Oh, c'est un bon point de vue, je dois dire.",2
625682d71da7a5c1eaef37b3,3.5,3.5,ang,62.8954,57.9295,Ses03M_script03_2_F008," Look, I'm bored with this conversation.","Écoute, je m'ennuie de cette conversation.",2
625682d71da7a5c1eaef37b4,2.5,3,ang,65.1745,62.25,Ses03M_script03_2_M008," Yeah, so am I.  Bored stiff.","Ouais, moi aussi. Je m'ennuie.",2
625682d71da7a5c1eaef37b5,3,3.5,neu,67.1065,65.2198,Ses03M_script03_2_M009, You want some brandy?,Vous voulez du cognac ?,3
625682d71da7a5c1eaef37b6,2.5,3,sad,68.2989,66.8046,Ses03M_script03_2_F009, No thanks.,Non merci.,2
625682d71da7a5c1eaef37b7,2.5,3,neu,69.9441,67.6025,Ses03M_script03_2_M010," I'll have a little I think.","J'en aurai un peu je pense.",3
625682d71da7a5c1eaef37b8,2.5,3.5,ang,72.9025,69.2498,Ses03M_script03_2_F010," I don't know why you want it.  You've already had two glasses.",Je ne sais pas pourquoi tu le veux. Vous avez déjà bu deux verres.,2.5
625682d71da7a5c1eaef37b9,3,3,ang,76.4495,72.2685,Ses03M_script03_2_M011, No particular reason.  Anyhow they were very small ones.,"Sans raison particulière. De toute façon, ils étaient très petits.",2.5
625682d71da7a5c1eaef37ba,4,3.5,ang,80.1927,75.7401,Ses03M_script03_2_F011," I don't see what you have to go on and on with this kind of thing.",Je ne vois pas ce que tu dois continuer encore et encore avec ce genre de chose.,2
625682d71da7a5c1eaef37bb,3,4,ang,84.7208,79.4984,Ses03M_script03_2_M012, Oh my...just because I just...okay...,"Oh mon... juste parce que j'ai juste... d'accord...",2
625682d71da7a5c1eaef37bc,3,4.5,ang,91.4828,84.7575,Ses03M_script03_2_M013, ...having three small minute liquor glasses in the evening is hardly going on and on and on.,"... avoir trois petits verres d'alcool minute le soir, c'est à peine s'éterniser.",2
625682d71da7a5c1eaef37bd,2.5,3.5,neu,93.6865,90.5923,Ses03M_script03_2_F012," It's become a habit with you.","C'est devenu une habitude chez toi.",3
625682d71da7a5c1eaef37be,2.5,3.5,ang,98.0335,93.0827,Ses03M_script03_2_M014," You needn't be so grand just because you don't happen to want any yourself at the moment.","Vous n'avez pas besoin d'être si grandiose simplement parce que vous n'en voulez pas vous-même en ce moment.",2
625682d71da7a5c1eaef37bf,2.5,3,fru,99.6334,97.2788,Ses03M_script03_2_F013," Don't be so stupid.",Ne soyez pas si stupide.,2
625682d71da7a5c1eaef37c0,3,4,fru,100.6598,98.773,Ses03M_script03_2_M015, Really Amanda.,Vraiment Amandine.,2
625682d71da7a5c1eaef37c1,3,4.5,ang,101.8522,100.1617,Ses03M_script03_2_F014, What?,Quelle?,1.5
625682d71da7a5c1eaef37c2,2.5,3,fru,103.7992,101.822,Ses03M_script03_2_M016, Nothing.,Rien.,3
625682d71da7a5c1eaef37c3,2.5,3,sad,105.2215,103.69,Ses03M_script03_2_F015, [BREATHING],[RESPIRATION],2.5
625682d71da7a5c1eaef37c4,3,3.5,fru,109.09,106.7475,Ses03M_script03_2_M017, Going out somewhere dear?,Vous sortez quelque part chérie ?,3
625682d71da7a5c1eaef37c5,3,2.5,neu,112.5225,108.475,Ses03M_script03_2_F016," No, just making myself beautiful for you.","Non, je me fais juste belle pour toi.",2
625682d71da7a5c1eaef37c6,2.5,3,fru,114.9988,112.14,Ses03M_script03_2_M018, That reply has broken my heart.,"Cette réponse m'a brisé le cœur.",3
625682d71da7a5c1eaef37c7,3,3.5,neu,120.155,114.64,Ses03M_script03_2_F017," That's the woman's job to lure the man.  Watch me a moment won't you?","C'est le travail de la femme d'attirer l'homme. Regarde-moi un instant, n'est-ce pas ?",3
625682d71da7a5c1eaef37c8,3,3,neu,122.8324,119.6476,Ses03M_script03_2_M019," Actually that's perfectly true.","En fait, c'est parfaitement vrai.",3.5
625682d71da7a5c1eaef37c9,3,3,fru,124.6134,122.2437,Ses03M_script03_2_F018," No it isn't.","Non ce n'est pas le cas.",2
625682d71da7a5c1eaef37ca,3,3,neu,126.0926,123.9946,Ses03M_script03_2_M020, Yes it is.,"Oui c'est le cas.",3.5
625682d71da7a5c1eaef37cb,3.5,3,ang,128.35,125.8209,Ses03M_script03_2_F019," Oh, be quiet.","Oh, tais-toi.",2
625682d71da7a5c1eaef37cc,3,3.5,ang,135.662,132.6584,Ses03M_script03_2_F020, I think you should have some more brandy...,Je pense que tu devrais avoir un peu plus de cognac...,2.5
